wagnum,month
1461,2023-02-28
1475,2023-02-28
1595,2023-02-28
1622,2023-02-28
1625,2023-02-28
1627,2023-02-28
1631,2023-02-28
1632,2023-02-28
1636,2023-02-28
1638,2023-02-28
1640,2023-02-28
1642,2023-02-28
1645,2023-02-28
1647,2023-02-28
1649,2023-02-28
1657,2023-02-28
1659,2023-02-28
1665,2023-02-28
1678,2023-02-28
2336,2023-02-28
2337,2023-02-28
2342,2023-02-28
2345,2023-02-28
2349,2023-02-28
2351,2023-02-28
2358,2023-02-28
2365,2023-02-28
2367,2023-02-28
2368,2023-02-28
2374,2023-02-28
2377,2023-02-28
2378,2023-02-28
2381,2023-02-28
2382,2023-02-28
2386,2023-02-28
2391,2023-02-28
2392,2023-02-28
2394,2023-02-28
2399,2023-02-28
2401,2023-02-28
2406,2023-02-28
1682,2023-02-28
1683,2023-02-28
1685,2023-02-28
1687,2023-02-28
1691,2023-02-28
1694,2023-02-28
1696,2023-02-28
1700,2023-02-28
1701,2023-02-28
1707,2023-02-28
1708,2023-02-28
1715,2023-02-28
1717,2023-02-28
1721,2023-02-28
1722,2023-02-28
1731,2023-02-28
33906,2023-02-28
2413,2023-02-28
2416,2023-02-28
2420,2023-02-28
2425,2023-02-28
2430,2023-02-28
2432,2023-02-28
2434,2023-02-28
4597,2023-02-28
33907,2023-02-28
33909,2023-02-28
33913,2023-02-28
1738,2023-02-28
1739,2023-02-28
1747,2023-02-28
1755,2023-02-28
1758,2023-02-28
1759,2023-02-28
1766,2023-02-28
1767,2023-02-28
1768,2023-02-28
1770,2023-02-28
1771,2023-02-28
1777,2023-02-28
1778,2023-02-28
1783,2023-02-28
1784,2023-02-28
1787,2023-02-28
1794,2023-02-28
1796,2023-02-28
1804,2023-02-28
1811,2023-02-28
1812,2023-02-28
1821,2023-02-28
1822,2023-02-28
1826,2023-02-28
1831,2023-02-28
1833,2023-02-28
1834,2023-02-28
1836,2023-02-28
1839,2023-02-28
1846,2023-02-28
1852,2023-02-28
1853,2023-02-28
1856,2023-02-28
1857,2023-02-28
1865,2023-02-28
1870,2023-02-28
1871,2023-02-28
1876,2023-02-28
1882,2023-02-28
1884,2023-02-28
1889,2023-02-28
1891,2023-02-28
1892,2023-02-28
1900,2023-02-28
1902,2023-02-28
1904,2023-02-28
1907,2023-02-28
1908,2023-02-28
1914,2023-02-28
1915,2023-02-28
1924,2023-02-28
1926,2023-02-28
1927,2023-02-28
1930,2023-02-28
1931,2023-02-28
1936,2023-02-28
1937,2023-02-28
1940,2023-02-28
1942,2023-02-28
1945,2023-02-28
1948,2023-02-28
1949,2023-02-28
1952,2023-02-28
1958,2023-02-28
1961,2023-02-28
1963,2023-02-28
1967,2023-02-28
1970,2023-02-28
1975,2023-02-28
1976,2023-02-28
1978,2023-02-28
1981,2023-02-28
1983,2023-02-28
1990,2023-02-28
7,2023-02-28
10,2023-02-28
11,2023-02-28
19,2023-02-28
1992,2023-02-28
1997,2023-02-28
1999,2023-02-28
2007,2023-02-28
2010,2023-02-28
2013,2023-02-28
2015,2023-02-28
2018,2023-02-28
2023,2023-02-28
2025,2023-02-28
2029,2023-02-28
2030,2023-02-28
2034,2023-02-28
71,2023-02-28
646,2023-02-28
661,2023-02-28
672,2023-02-28
840,2023-02-28
845,2023-02-28
848,2023-02-28
852,2023-02-28
853,2023-02-28
857,2023-02-28
859,2023-02-28
860,2023-02-28
862,2023-02-28
863,2023-02-28
869,2023-02-28
871,2023-02-28
877,2023-02-28
881,2023-02-28
882,2023-02-28
887,2023-02-28
889,2023-02-28
906,2023-02-28
910,2023-02-28
914,2023-02-28
916,2023-02-28
924,2023-02-28
926,2023-02-28
928,2023-02-28
940,2023-02-28
941,2023-02-28
946,2023-02-28
951,2023-02-28
975,2023-02-28
977,2023-02-28
978,2023-02-28
981,2023-02-28
982,2023-02-28
987,2023-02-28
988,2023-02-28
33917,2023-02-28
33918,2023-02-28
2042,2023-02-28
2046,2023-02-28
2048,2023-02-28
2053,2023-02-28
2058,2023-02-28
2059,2023-02-28
2062,2023-02-28
2069,2023-02-28
2071,2023-02-28
2073,2023-02-28
2077,2023-02-28
2079,2023-02-28
2081,2023-02-28
2086,2023-02-28
2090,2023-02-28
990,2023-02-28
995,2023-02-28
996,2023-02-28
1003,2023-02-28
1008,2023-02-28
1009,2023-02-28
1012,2023-02-28
1017,2023-02-28
1028,2023-02-28
1032,2023-02-28
1037,2023-02-28
1047,2023-02-28
1051,2023-02-28
1052,2023-02-28
1055,2023-02-28
1058,2023-02-28
1061,2023-02-28
1064,2023-02-28
1068,2023-02-28
1070,2023-02-28
1072,2023-02-28
2096,2023-02-28
2100,2023-02-28
2101,2023-02-28
2104,2023-02-28
2108,2023-02-28
2111,2023-02-28
2112,2023-02-28
2116,2023-02-28
2127,2023-02-28
2129,2023-02-28
2132,2023-02-28
2136,2023-02-28
2139,2023-02-28
2144,2023-02-28
2150,2023-02-28
2154,2023-02-28
2156,2023-02-28
2160,2023-02-28
2161,2023-02-28
2173,2023-02-28
2175,2023-02-28
2177,2023-02-28
7064,2023-02-28
7065,2023-02-28
7068,2023-02-28
7072,2023-02-28
7076,2023-02-28
7082,2023-02-28
7089,2023-02-28
7093,2023-02-28
7094,2023-02-28
7100,2023-02-28
7101,2023-02-28
7104,2023-02-28
7114,2023-02-28
7117,2023-02-28
7124,2023-02-28
7127,2023-02-28
7140,2023-02-28
7142,2023-02-28
7147,2023-02-28
7149,2023-02-28
7151,2023-02-28
7158,2023-02-28
7161,2023-02-28
7165,2023-02-28
7166,2023-02-28
7282,2023-02-28
7287,2023-02-28
7290,2023-02-28
7294,2023-02-28
7295,2023-02-28
7298,2023-02-28
7311,2023-02-28
7323,2023-02-28
7329,2023-02-28
7335,2023-02-28
7338,2023-02-28
7340,2023-02-28
7341,2023-02-28
7352,2023-02-28
7355,2023-02-28
7358,2023-02-28
5278,2023-02-28
5281,2023-02-28
5282,2023-02-28
5287,2023-02-28
5291,2023-02-28
5293,2023-02-28
5295,2023-02-28
5301,2023-02-28
5304,2023-02-28
5306,2023-02-28
5389,2023-02-28
5307,2023-02-28
7176,2023-02-28
7179,2023-02-28
7181,2023-02-28
7187,2023-02-28
7209,2023-02-28
6357,2023-02-28
6358,2023-02-28
6359,2023-02-28
6360,2023-02-28
7217,2023-02-28
7218,2023-02-28
7222,2023-02-28
7225,2023-02-28
7230,2023-02-28
7231,2023-02-28
7236,2023-02-28
7239,2023-02-28
7242,2023-02-28
7247,2023-02-28
7249,2023-02-28
7252,2023-02-28
7258,2023-02-28
7259,2023-02-28
7263,2023-02-28
7268,2023-02-28
7270,2023-02-28
7274,2023-02-28
7275,2023-02-28
7278,2023-02-28
5310,2023-02-28
5313,2023-02-28
5322,2023-02-28
5324,2023-02-28
5325,2023-02-28
5330,2023-02-28
5331,2023-02-28
5335,2023-02-28
5349,2023-02-28
5352,2023-02-28
5353,2023-02-28
5360,2023-02-28
5361,2023-02-28
5374,2023-02-28
5378,2023-02-28
5385,2023-02-28
5388,2023-02-28
7478,2023-02-28
7482,2023-02-28
7483,2023-02-28
7493,2023-02-28
7499,2023-02-28
7501,2023-02-28
7506,2023-02-28
7510,2023-02-28
7519,2023-02-28
7525,2023-02-28
7531,2023-02-28
5757,2023-02-28
5758,2023-02-28
5765,2023-02-28
5767,2023-02-28
5772,2023-02-28
5777,2023-02-28
5782,2023-02-28
5783,2023-02-28
5933,2023-02-28
6484,2023-02-28
6487,2023-02-28
6488,2023-02-28
6498,2023-02-28
6689,2023-02-28
5788,2023-02-28
5791,2023-02-28
5792,2023-02-28
5799,2023-02-28
5800,2023-02-28
5807,2023-02-28
5813,2023-02-28
5820,2023-02-28
5826,2023-02-28
5829,2023-02-28
5833,2023-02-28
5834,2023-02-28
5849,2023-02-28
5859,2023-02-28
5861,2023-02-28
5866,2023-02-28
6500,2023-02-28
6510,2023-02-28
6521,2023-02-28
6524,2023-02-28
6525,2023-02-28
6529,2023-02-28
6531,2023-02-28
6540,2023-02-28
6552,2023-02-28
6554,2023-02-28
6555,2023-02-28
6562,2023-02-28
6563,2023-02-28
6564,2023-02-28
6565,2023-02-28
6568,2023-02-28
6574,2023-02-28
5557,2023-02-28
5561,2023-02-28
5563,2023-02-28
5566,2023-02-28
5568,2023-02-28
5574,2023-02-28
5575,2023-02-28
5582,2023-02-28
5585,2023-02-28
5590,2023-02-28
5591,2023-02-28
5596,2023-02-28
5606,2023-02-28
5607,2023-02-28
5615,2023-02-28
5616,2023-02-28
5626,2023-02-28
5629,2023-02-28
5635,2023-02-28
5640,2023-02-28
5642,2023-02-28
5647,2023-02-28
6586,2023-02-28
5649,2023-02-28
5652,2023-02-28
5653,2023-02-28
5658,2023-02-28
5659,2023-02-28
5662,2023-02-28
5665,2023-02-28
5668,2023-02-28
5671,2023-02-28
5672,2023-02-28
5676,2023-02-28
5678,2023-02-28
5681,2023-02-28
5685,2023-02-28
5689,2023-02-28
5691,2023-02-28
5696,2023-02-28
6466,2023-02-28
6736,2023-02-28
6746,2023-02-28
6747,2023-02-28
6753,2023-02-28
6755,2023-02-28
6760,2023-02-28
6774,2023-02-28
6233,2023-02-28
6237,2023-02-28
6245,2023-02-28
6247,2023-02-28
6251,2023-02-28
6254,2023-02-28
6257,2023-02-28
6259,2023-02-28
6263,2023-02-28
7536,2023-02-28
7541,2023-02-28
6264,2023-02-28
6269,2023-02-28
6276,2023-02-28
6282,2023-02-28
6284,2023-02-28
6287,2023-02-28
6289,2023-02-28
6295,2023-02-28
6296,2023-02-28
6300,2023-02-28
6302,2023-02-28
6312,2023-02-28
7546,2023-02-28
7549,2023-02-28
7555,2023-02-28
7556,2023-02-28
7566,2023-02-28
7568,2023-02-28
7573,2023-02-28
7582,2023-02-28
7583,2023-02-28
7591,2023-02-28
7594,2023-02-28
7600,2023-02-28
7602,2023-02-28
7608,2023-02-28
7613,2023-02-28
7618,2023-02-28
7621,2023-02-28
7627,2023-02-28
7640,2023-02-28
7645,2023-02-28
7648,2023-02-28
7656,2023-02-28
5950,2023-02-28
5960,2023-02-28
5961,2023-02-28
5965,2023-02-28
5972,2023-02-28
6316,2023-02-28
6317,2023-02-28
6693,2023-02-28
6695,2023-02-28
7659,2023-02-28
7663,2023-02-28
7664,2023-02-28
7678,2023-02-28
7680,2023-02-28
7683,2023-02-28
7688,2023-02-28
7691,2023-02-28
7693,2023-02-28
7696,2023-02-28
7705,2023-02-28
7709,2023-02-28
7711,2023-02-28
7719,2023-02-28
7722,2023-02-28
7723,2023-02-28
7727,2023-02-28
7728,2023-02-28
5872,2023-02-28
5973,2023-02-28
5976,2023-02-28
5980,2023-02-28
5982,2023-02-28
5983,2023-02-28
5985,2023-02-28
5991,2023-02-28
5992,2023-02-28
5994,2023-02-28
5995,2023-02-28
5999,2023-02-28
6007,2023-02-28
6009,2023-02-28
6014,2023-02-28
6023,2023-02-28
6025,2023-02-28
6031,2023-02-28
6037,2023-02-28
6040,2023-02-28
6046,2023-02-28
6051,2023-02-28
6711,2023-02-28
6716,2023-02-28
6717,2023-02-28
6721,2023-02-28
6722,2023-02-28
6728,2023-02-28
6734,2023-02-28
5882,2023-02-28
5884,2023-02-28
5890,2023-02-28
5724,2023-02-28
5727,2023-02-28
5895,2023-02-28
6602,2023-02-28
6604,2023-02-28
6609,2023-02-28
6613,2023-02-28
6618,2023-02-28
6619,2023-02-28
6623,2023-02-28
6624,2023-02-28
6627,2023-02-28
6628,2023-02-28
6638,2023-02-28
6649,2023-02-28
6655,2023-02-28
5398,2023-02-28
5407,2023-02-28
5412,2023-02-28
5415,2023-02-28
5730,2023-02-28
5732,2023-02-28
5734,2023-02-28
5741,2023-02-28
5748,2023-02-28
5750,2023-02-28
6473,2023-02-28
5420,2023-02-28
5422,2023-02-28
5425,2023-02-28
5432,2023-02-28
5434,2023-02-28
5436,2023-02-28
5441,2023-02-28
5447,2023-02-28
5448,2023-02-28
5455,2023-02-28
5461,2023-02-28
5464,2023-02-28
5466,2023-02-28
5474,2023-02-28
5477,2023-02-28
5482,2023-02-28
5493,2023-02-28
5498,2023-02-28
5500,2023-02-28
5503,2023-02-28
5507,2023-02-28
5513,2023-02-28
5515,2023-02-28
5521,2023-02-28
5522,2023-02-28
5529,2023-02-28
5531,2023-02-28
5539,2023-02-28
5544,2023-02-28
5546,2023-02-28
5548,2023-02-28
5554,2023-02-28
6433,2023-02-28
6063,2023-02-28
6065,2023-02-28
6067,2023-02-28
6070,2023-02-28
6076,2023-02-28
6079,2023-02-28
6083,2023-02-28
6089,2023-02-28
6090,2023-02-28
6093,2023-02-28
6094,2023-02-28
6101,2023-02-28
6107,2023-02-28
6109,2023-02-28
6113,2023-02-28
6115,2023-02-28
6438,2023-02-28
7361,2023-02-28
7364,2023-02-28
7369,2023-02-28
7376,2023-02-28
7385,2023-02-28
7390,2023-02-28
6121,2023-02-28
6127,2023-02-28
6131,2023-02-28
6134,2023-02-28
6136,2023-02-28
6148,2023-02-28
6149,2023-02-28
6154,2023-02-28
6155,2023-02-28
6160,2023-02-28
6161,2023-02-28
6172,2023-02-28
6173,2023-02-28
6177,2023-02-28
6178,2023-02-28
6180,2023-02-28
6183,2023-02-28
6186,2023-02-28
6191,2023-02-28
6201,2023-02-28
6204,2023-02-28
6210,2023-02-28
7391,2023-02-28
7394,2023-02-28
7396,2023-02-28
7398,2023-02-28
7401,2023-02-28
7411,2023-02-28
7412,2023-02-28
7415,2023-02-28
7421,2023-02-28
7426,2023-02-28
7427,2023-02-28
7432,2023-02-28
7443,2023-02-28
7444,2023-02-28
7450,2023-02-28
7455,2023-02-28
7458,2023-02-28
7459,2023-02-28
7464,2023-02-28
7465,2023-02-28
7473,2023-02-28
7475,2023-02-28
5906,2023-02-28
5920,2023-02-28
6214,2023-02-28
6222,2023-02-28
6227,2023-02-28
6659,2023-02-28
6661,2023-02-28
6668,2023-02-28
6671,2023-02-28
10576,2023-02-28
10577,2023-02-28
10579,2023-02-28
10582,2023-02-28
10584,2023-02-28
10586,2023-02-28
10587,2023-02-28
10589,2023-02-28
10590,2023-02-28
10592,2023-02-28
10593,2023-02-28
6928,2023-02-28
6930,2023-02-28
6934,2023-02-28
6948,2023-02-28
6959,2023-02-28
5264,2023-02-28
5265,2023-02-28
5266,2023-02-28
5267,2023-02-28
7735,2023-02-28
7737,2023-02-28
7738,2023-02-28
7743,2023-02-28
7745,2023-02-28
7753,2023-02-28
7757,2023-02-28
7758,2023-02-28
10361,2023-02-28
10362,2023-02-28
10367,2023-02-28
10377,2023-02-28
10379,2023-02-28
10380,2023-02-28
10382,2023-02-28
10384,2023-02-28
10385,2023-02-28
10386,2023-02-28
10389,2023-02-28
10391,2023-02-28
10392,2023-02-28
10393,2023-02-28
10396,2023-02-28
10402,2023-02-28
10403,2023-02-28
10406,2023-02-28
10407,2023-02-28
10413,2023-02-28
10414,2023-02-28
10420,2023-02-28
11750,2023-02-28
11756,2023-02-28
11761,2023-02-28
11763,2023-02-28
11764,2023-02-28
11766,2023-02-28
11767,2023-02-28
11772,2023-02-28
11775,2023-02-28
11780,2023-02-28
11782,2023-02-28
7764,2023-02-28
7768,2023-02-28
7777,2023-02-28
7782,2023-02-28
7783,2023-02-28
7791,2023-02-28
7797,2023-02-28
7812,2023-02-28
7816,2023-02-28
7821,2023-02-28
7822,2023-02-28
7824,2023-02-28
7825,2023-02-28
7833,2023-02-28
7841,2023-02-28
7847,2023-02-28
7849,2023-02-28
7856,2023-02-28
7861,2023-02-28
7868,2023-02-28
7873,2023-02-28
10421,2023-02-28
11527,2023-02-28
11528,2023-02-28
11531,2023-02-28
11534,2023-02-28
11540,2023-02-28
11541,2023-02-28
11544,2023-02-28
11550,2023-02-28
11554,2023-02-28
11556,2023-02-28
11558,2023-02-28
11560,2023-02-28
11561,2023-02-28
11572,2023-02-28
11573,2023-02-28
11576,2023-02-28
11577,2023-02-28
11580,2023-02-28
11581,2023-02-28
11585,2023-02-28
11783,2023-02-28
11786,2023-02-28
11788,2023-02-28
11793,2023-02-28
11795,2023-02-28
11796,2023-02-28
11798,2023-02-28
11800,2023-02-28
11808,2023-02-28
11809,2023-02-28
11812,2023-02-28
11813,2023-02-28
11815,2023-02-28
11818,2023-02-28
11821,2023-02-28
11822,2023-02-28
11825,2023-02-28
11831,2023-02-28
11833,2023-02-28
11834,2023-02-28
5252,2023-02-28
7874,2023-02-28
7876,2023-02-28
7877,2023-02-28
7886,2023-02-28
7887,2023-02-28
7890,2023-02-28
7892,2023-02-28
7896,2023-02-28
7907,2023-02-28
7911,2023-02-28
7915,2023-02-28
7918,2023-02-28
13205,2023-02-28
13207,2023-02-28
13209,2023-02-28
13212,2023-02-28
13214,2023-02-28
13219,2023-02-28
13224,2023-02-28
13228,2023-02-28
13229,2023-02-28
13236,2023-02-28
11590,2023-02-28
11593,2023-02-28
11594,2023-02-28
11596,2023-02-28
11603,2023-02-28
11604,2023-02-28
11608,2023-02-28
11611,2023-02-28
11613,2023-02-28
11616,2023-02-28
11622,2023-02-28
11623,2023-02-28
11625,2023-02-28
11626,2023-02-28
11630,2023-02-28
11632,2023-02-28
11634,2023-02-28
11635,2023-02-28
11639,2023-02-28
11640,2023-02-28
13471,2023-02-28
11838,2023-02-28
11841,2023-02-28
13719,2023-02-28
13721,2023-02-28
13725,2023-02-28
13726,2023-02-28
13728,2023-02-28
13729,2023-02-28
13732,2023-02-28
13734,2023-02-28
13738,2023-02-28
13744,2023-02-28
13745,2023-02-28
13749,2023-02-28
13753,2023-02-28
13754,2023-02-28
13757,2023-02-28
13242,2023-02-28
13244,2023-02-28
13248,2023-02-28
13249,2023-02-28
13252,2023-02-28
13256,2023-02-28
13258,2023-02-28
13260,2023-02-28
13264,2023-02-28
13267,2023-02-28
13269,2023-02-28
13270,2023-02-28
13274,2023-02-28
13278,2023-02-28
13279,2023-02-28
13292,2023-02-28
13295,2023-02-28
13301,2023-02-28
13303,2023-02-28
13307,2023-02-28
13309,2023-02-28
13310,2023-02-28
13473,2023-02-28
13475,2023-02-28
13476,2023-02-28
13480,2023-02-28
13484,2023-02-28
13486,2023-02-28
13487,2023-02-28
13492,2023-02-28
13496,2023-02-28
13498,2023-02-28
13500,2023-02-28
13505,2023-02-28
13507,2023-02-28
13512,2023-02-28
13513,2023-02-28
13516,2023-02-28
13518,2023-02-28
13521,2023-02-28
13523,2023-02-28
13524,2023-02-28
13526,2023-02-28
13531,2023-02-28
13758,2023-02-28
13762,2023-02-28
13765,2023-02-28
13766,2023-02-28
13768,2023-02-28
13773,2023-02-28
13776,2023-02-28
13779,2023-02-28
13784,2023-02-28
13786,2023-02-28
13787,2023-02-28
13790,2023-02-28
13791,2023-02-28
13794,2023-02-28
13796,2023-02-28
13798,2023-02-28
13799,2023-02-28
13807,2023-02-28
13808,2023-02-28
13812,2023-02-28
13816,2023-02-28
13313,2023-02-28
13314,2023-02-28
13316,2023-02-28
13318,2023-02-28
13336,2023-02-28
13340,2023-02-28
13341,2023-02-28
13343,2023-02-28
13345,2023-02-28
13348,2023-02-28
14842,2023-02-28
14845,2023-02-28
14848,2023-02-28
14850,2023-02-28
14854,2023-02-28
14863,2023-02-28
14866,2023-02-28
14867,2023-02-28
14869,2023-02-28
14870,2023-02-28
14874,2023-02-28
14876,2023-02-28
13533,2023-02-28
13539,2023-02-28
13545,2023-02-28
13546,2023-02-28
13548,2023-02-28
13552,2023-02-28
13554,2023-02-28
13563,2023-02-28
13564,2023-02-28
13566,2023-02-28
13567,2023-02-28
13570,2023-02-28
13571,2023-02-28
13575,2023-02-28
13579,2023-02-28
13583,2023-02-28
13591,2023-02-28
13592,2023-02-28
8289,2023-02-28
8290,2023-02-28
8293,2023-02-28
8296,2023-02-28
8727,2023-02-28
8738,2023-02-28
8740,2023-02-28
8741,2023-02-28
8746,2023-02-28
8747,2023-02-28
8756,2023-02-28
8757,2023-02-28
8759,2023-02-28
8760,2023-02-28
8774,2023-02-28
8776,2023-02-28
8782,2023-02-28
8784,2023-02-28
8790,2023-02-28
8792,2023-02-28
8795,2023-02-28
8797,2023-02-28
8800,2023-02-28
8801,2023-02-28
8810,2023-02-28
6971,2023-02-28
14880,2023-02-28
14881,2023-02-28
14883,2023-02-28
14884,2023-02-28
14887,2023-02-28
14891,2023-02-28
14892,2023-02-28
14895,2023-02-28
14896,2023-02-28
14901,2023-02-28
14905,2023-02-28
14911,2023-02-28
14912,2023-02-28
14916,2023-02-28
14920,2023-02-28
14928,2023-02-28
14929,2023-02-28
14932,2023-02-28
14933,2023-02-28
14935,2023-02-28
14940,2023-02-28
14941,2023-02-28
8299,2023-02-28
8300,2023-02-28
8305,2023-02-28
8313,2023-02-28
8321,2023-02-28
8322,2023-02-28
8335,2023-02-28
8340,2023-02-28
8341,2023-02-28
8343,2023-02-28
8347,2023-02-28
8350,2023-02-28
8360,2023-02-28
8363,2023-02-28
8364,2023-02-28
8373,2023-02-28
8374,2023-02-28
8376,2023-02-28
8377,2023-02-28
8380,2023-02-28
8387,2023-02-28
8388,2023-02-28
10656,2023-02-28
11845,2023-02-28
11846,2023-02-28
11854,2023-02-28
11856,2023-02-28
11858,2023-02-28
11859,2023-02-28
11861,2023-02-28
11863,2023-02-28
11864,2023-02-28
11868,2023-02-28
11871,2023-02-28
11873,2023-02-28
11884,2023-02-28
11886,2023-02-28
11888,2023-02-28
11889,2023-02-28
11892,2023-02-28
14946,2023-02-28
14947,2023-02-28
14950,2023-02-28
14957,2023-02-28
14960,2023-02-28
14962,2023-02-28
14964,2023-02-28
14965,2023-02-28
10182,2023-02-28
10186,2023-02-28
10187,2023-02-28
10190,2023-02-28
10191,2023-02-28
10193,2023-02-28
10199,2023-02-28
10200,2023-02-28
10203,2023-02-28
10204,2023-02-28
10206,2023-02-28
10209,2023-02-28
10214,2023-02-28
10220,2023-02-28
8399,2023-02-28
8410,2023-02-28
8412,2023-02-28
8416,2023-02-28
8420,2023-02-28
8421,2023-02-28
8424,2023-02-28
8434,2023-02-28
8439,2023-02-28
8446,2023-02-28
8455,2023-02-28
8460,2023-02-28
8466,2023-02-28
8469,2023-02-28
8470,2023-02-28
8474,2023-02-28
8481,2023-02-28
10425,2023-02-28
10426,2023-02-28
10428,2023-02-28
10430,2023-02-28
10436,2023-02-28
8652,2023-02-28
8654,2023-02-28
8655,2023-02-28
8665,2023-02-28
8670,2023-02-28
8671,2023-02-28
8674,2023-02-28
8675,2023-02-28
8679,2023-02-28
8680,2023-02-28
8685,2023-02-28
8688,2023-02-28
8693,2023-02-28
8694,2023-02-28
8698,2023-02-28
8704,2023-02-28
8708,2023-02-28
8711,2023-02-28
8721,2023-02-28
10224,2023-02-28
10225,2023-02-28
10228,2023-02-28
10232,2023-02-28
10234,2023-02-28
10237,2023-02-28
10238,2023-02-28
10244,2023-02-28
10246,2023-02-28
10247,2023-02-28
10249,2023-02-28
10250,2023-02-28
10252,2023-02-28
10256,2023-02-28
10260,2023-02-28
10266,2023-02-28
10267,2023-02-28
10270,2023-02-28
10271,2023-02-28
10273,2023-02-28
10277,2023-02-28
10437,2023-02-28
10439,2023-02-28
10443,2023-02-28
10444,2023-02-28
10450,2023-02-28
10453,2023-02-28
10455,2023-02-28
10458,2023-02-28
10460,2023-02-28
10462,2023-02-28
10464,2023-02-28
10466,2023-02-28
10475,2023-02-28
10477,2023-02-28
10478,2023-02-28
10485,2023-02-28
10492,2023-02-28
10497,2023-02-28
10499,2023-02-28
10501,2023-02-28
10503,2023-02-28
10506,2023-02-28
8836,2023-02-28
8838,2023-02-28
8841,2023-02-28
8842,2023-02-28
5257,2023-02-28
10281,2023-02-28
10284,2023-02-28
10289,2023-02-28
10294,2023-02-28
10295,2023-02-28
10299,2023-02-28
7920,2023-02-28
7928,2023-02-28
7932,2023-02-28
7937,2023-02-28
7939,2023-02-28
7941,2023-02-28
